1|1|Кафедра программной инженерии|Лебедев Игорь Анатольевич
2|1|Кафедра информационных систем|Громова Елена Валерьевна
3|1|Кафедра кибербезопасности|Наумов Пётр Олегович
4|2|Кафедра экономической теории|Зайцева Наталья Борисовна
5|2|Кафедра финансов и кредита|Орлов Максим Юрьевич
6|3|Кафедра высшей математики|Фёдорова Ирина Львовна
7|3|Кафедра общей физики|Кузнецов Роман Витальевич
8|4|Кафедра гражданского права|Панова Светлана Аркадьевна
9|4|Кафедра уголовного права|Шевченко Артём Денисович
10|5|Кафедра экологии|Медведева Алла Романовна
11|5|Кафедра ботаники|Селезнёв Юрий Ефимович
