1|1|09.03.01|Информатика и вычислительная техника|бакалавриат|заочная|4.0
2|1|09.03.04|Программная инженерия|бакалавриат|очная|4.0
3|1|10.03.01|Информационная безопасность|бакалавриат|очная|4.0
4|1|09.04.01|Информатика и вычислительная техника|магистратура|заочная|2.0
5|2|38.03.01|Экономика|бакалавриат|очная|4.0
6|2|38.03.02|Менеджмент|бакалавриат|заочная|4.0
7|2|38.04.01|Экономика|магистратура|заочная|2.0
8|3|01.03.01|Математика|бакалавриат|очная|4.0
9|3|03.03.02|Физика|бакалавриат|очная|4.0
10|4|40.03.01|Юриспруденция|бакалавриат|заочная|4.0
11|4|40.04.01|Юриспруденция|магистратура|заочная|2.0
12|5|06.03.01|Биология|бакалавриат|очная|4.0
13|5|05.03.06|Экология и природопользование|бакалавриат|очная|4.0
